Araç,Sayfa,Başlık,Entry No,Entry Metni,tokens
fiat egea,28,fiat egea,1,"yaygın servis ağı, ucuz yedek parça, canlı ikinci el, multijetin sorunsuzluğu. bu araba alınır. sakın ama doğuş grubuna bulaşmayın. uyduruk bir ızgara için çektikleri fiyata, fegeayı komple toplatırsınız.","['yaygın', 'servis', 'ağı', 'ucuz', 'yedek', 'parça', 'canlı', 'ikinci', 'el', 'multijetin', 'sorunsuzluğu', 'araba', 'alınır', 'sakın', 'doğuş', 'grubuna', 'bulaşmayın', 'uyduruk', 'bir', 'ızgara', 'çektikleri', 'fiyata', 'fegeayı', 'komple', 'toplatırsınız']"
fiat egea,28,fiat egea,2,"filolar için yapılmış bir araç egea, bunu göz önüne alarak değerlendirmek lazım bu aracı, şahıslara hitap edecek bir model değil, filolar içinde gayet iyi bir araç,yeter daha ne olsun.","['filolar', 'yapılmış', 'bir', 'araç', 'egea', 'bunu', 'göz', 'önüne', 'alarak', 'değerlendirmek', 'lazım', 'aracı', 'şahıslara', 'hitap', 'edecek', 'bir', 'model', 'değil', 'filolar', 'içinde', 'gayet', 'iyi', 'bir', 'araç', 'yeter', 'olsun']"
fiat egea,28,fiat egea,3,sanal alemde yer alacak video reklamı için behzat amirim'i kullanan araç. amirim aracı tasvir edince bi satın alası gelmiyor değil insanın yani. *,"['sanal', 'alemde', 'yer', 'alacak', 'video', 'reklamı', 'behzat', 'amirim', 'i', 'kullanan', 'araç', 'amirim', 'aracı', 'tasvir', 'edince', 'bi', 'satın', 'alası', 'gelmiyor', 'değil', 'insanın']"
fiat egea,28,fiat egea,4,önyargıları yıkmak üzere yola çıkmıştır. ve lakin otomatik vites seçeneği bile yoktur.,"['önyargıları', 'yıkmak', 'üzere', 'yola', 'çıkmıştır', 'lakin', 'otomatik', 'vites', 'seçeneği', 'bile', 'yoktur']"
fiat egea,28,fiat egea,5,"lin-ea, eg-eaismi bile huylandırıyor.","['lin-ea', 'eg-eaismi', 'bile', 'huylandırıyor']"
fiat egea,28,fiat egea,6,uluslararası piyasalara fiat tipo sedan olarak çıkacaktır.,"['uluslararası', 'piyasalara', 'fiat', 'tipo', 'sedan', 'olarak', 'çıkacaktır']"
fiat egea,28,fiat egea,7,"makyajla araba satmaya çalışmaktan öte br şey göremediğim fiyat modeli. zamanında uzak doğulular denemişti bunu. ön tarafa mercedes'leri andıran bir ızgara koyacaksın, bir de kasası geniş duracak. fiat da amerikan otomobillerinin ön ızgaralarına öykünmüş. olay bundan ibaret.","['makyajla', 'araba', 'satmaya', 'çalışmaktan', 'öte', 'br', 'göremediğim', 'fiyat', 'modeli', 'zamanında', 'uzak', 'doğulular', 'denemişti', 'bunu', 'ön', 'tarafa', ""mercedes'leri"", 'andıran', 'bir', 'ızgara', 'koyacaksın', 'bir', 'kasası', 'geniş', 'duracak', 'fiat', 'amerikan', 'otomobillerinin', 'ön', 'ızgaralarına', 'öykünmüş', 'olay', 'bundan', 'ibaret']"
fiat egea,28,fiat egea,8,her tarafı fiat olan bir araç... linea ile arasındaki fark sadece dış kasadır.,"['tarafı', 'fiat', 'olan', 'bir', 'araç', '...', 'linea', 'arasındaki', 'fark', 'sadece', 'dış', 'kasadır']"
fiat egea,28,fiat egea,9,"herkesin fikir birliğine vardığı şekilde taksi, filo ve anadolu'da servis sıkıntısı çekilen bölgelerde tercih edilecek, ve zannımca zaten bu amaçla üretilen bir araç.belirlenen fiyatlar ile ortalama kullanıcı için toyota-vw grubu ve hatta renault araçları ile dahi yarışması olanak dışı. bunu aracın planlamasını ve satışını yapacak ekip de gayet biliyordur.şimdi burda yapılan hata ise, linea-albea varken buna ne gerek var demek.otomotiv sektörü halihazırda sürekli bir ilerleme kaydederken önümüzde ki 1-2 yıl içine filo araçları arasında dahi linea göremeyeceğimiz apaçık ortada. keza şu anda dahi filo araçlarında hakimiyet, bir kaç yıl öncesine kadar ""yönetici aracı"" konumunda olan fluence'lere geçti, ki artık taksilerde dahi fluence görmeye başladık. fiat türkiyede bu araçla ""yerli"" algısına oynamıştır ve renault'un fluence'ine karşı kaybettiği pazarı geri kazanma hamlesi yapmıştır, ya da en azından hedefi bu olmalıdır.ha normal kullanıcı için asla bir tercih olamaz, mantıken olmamalıdır. dalga geçiyoruz ediyoruz, ama normal kullanıcı 10 yıldır şanzıman sorunu olan vw tercih etmeye devam edecektir, toyota alacaktır, ama gayet doğal olarak egea almayacaktır.""parçası pahallı"" muhabbetine de gerek yok. o kural taksi ve filo'da geçerli arkadaşım, normal vatandaş ""ben bunu ayda bir duvara sürterim"" diye araba almaz. kendine yakıştırmaz, ve dahi düşünse bile bu fiyatlara araba alan vatandaş kasko'sundan kaçmaz.","['herkesin', 'fikir', 'birliğine', 'vardığı', 'şekilde', 'taksi', 'filo', ""anadolu'da"", 'servis', 'sıkıntısı', 'çekilen', 'bölgelerde', 'tercih', 'edilecek', 'zannımca', 'zaten', 'amaçla', 'üretilen', 'bir', 'araç.belirlenen', 'fiyatlar', 'ortalama', 'kullanıcı', 'toyota-vw', 'grubu', 'hatta', 'renault', 'araçları', 'dahi', 'yarışması', 'olanak', 'dışı', 'bunu', 'aracın', 'planlamasını', 'satışını', 'yapacak', 'ekip', 'gayet', 'biliyordur.şimdi', 'burda', 'yapılan', 'hata', 'linea-albea', 'varken', 'buna', 'gerek', 'var', 'demek.otomotiv', 'sektörü', 'halihazırda', 'sürekli', 'bir', 'ilerleme', 'kaydederken', 'önümüzde', '1-2', 'yıl', 'içine', 'filo', 'araçları', 'arasında', 'dahi', 'linea', 'göremeyeceğimiz', 'apaçık', 'ortada', 'keza', 'anda', 'dahi', 'filo', 'araçlarında', 'hakimiyet', 'bir', 'kaç', 'yıl', 'öncesine', 'kadar', '``', 'yönetici', 'aracı', ""''"", 'konumunda', 'olan', ""fluence'lere"", 'geçti', 'artık', 'taksilerde', 'dahi', 'fluence', 'görmeye', 'başladık', 'fiat', 'türkiyede', 'araçla', '``', 'yerli', ""''"", 'algısına', 'oynamıştır', ""renault'un"", ""fluence'ine"", 'karşı', 'kaybettiği', 'pazarı', 'geri', 'kazanma', 'hamlesi', 'yapmıştır', 'azından', 'hedefi', 'olmalıdır.ha', 'normal', 'kullanıcı', 'asla', 'bir', 'tercih', 'olamaz', 'mantıken', 'olmamalıdır', 'dalga', 'geçiyoruz', 'ediyoruz', 'normal', 'kullanıcı', '10', 'yıldır', 'şanzıman', 'sorunu', 'olan', 'vw', 'tercih', 'etmeye', 'devam', 'edecektir', 'toyota', 'alacaktır', 'gayet', 'doğal', 'olarak', 'egea', 'almayacaktır', '``', 'parçası', 'pahallı', ""''"", 'muhabbetine', 'gerek', 'yok', 'kural', 'taksi', ""filo'da"", 'geçerli', 'arkadaşım', 'normal', 'vatandaş', '``', 'ben', 'bunu', 'ayda', 'bir', 'duvara', 'sürterim', ""''"", 'araba', 'almaz', 'kendine', 'yakıştırmaz', 'dahi', 'düşünse', 'bile', 'fiyatlara', 'araba', 'alan', 'vatandaş', ""kasko'sundan"", 'kaçmaz']"
fiat egea,28,fiat egea,10,arabayi satip bunu mu alsak die düşündürür,"['arabayi', 'satip', 'bunu', 'alsak', 'die', 'düşündürür']"
fiat egea,29,fiat egea,1,otomatiği yok yazmışlar yukarıya :) araba yı yapan ekipteyim. kendimden şüphe ettim bi an :) olum bok atacağınıza oturup yapsanıza. gayet canavar gibi oldu. testler başarılı. tabi ki olumsuzluklarla karşılaşıyoruz. ama bunu gidermek için sabahlamalar. haftasonları dahil evimize gidememeler.roma bir günde kurulmadı. ama mükemmele ulaşmak için ege sadece bir adım daha topu ileri taşımaktır.işte anlamadığınız nokta bu.yok efendin traktörün halicesiymiş. yok efendim otomatik vitesi neden olmamış. var kardeşim var sen merak etme.anlamadığınız nokta bu araç için kullanılan kapasitede türk mühendislerin oranı çok artmıştır.eski projelerde % 30 türk mühendisliği % 70 italyan iken şuan rakamlar tersine dönmüş durumda.ama sen bilirsin. git daha pahalı birşeyler al. neysekeyfiniz bilir,"['otomatiği', 'yok', 'yazmışlar', 'yukarıya', 'araba', 'yı', 'yapan', 'ekipteyim', 'kendimden', 'şüphe', 'ettim', 'bi', 'an', 'olum', 'bok', 'atacağınıza', 'oturup', 'yapsanıza', 'gayet', 'canavar', 'oldu', 'testler', 'başarılı', 'tabi', 'olumsuzluklarla', 'karşılaşıyoruz', 'bunu', 'gidermek', 'sabahlamalar', 'haftasonları', 'dahil', 'evimize', 'gidememeler.roma', 'bir', 'günde', 'kurulmadı', 'mükemmele', 'ulaşmak', 'ege', 'sadece', 'bir', 'adım', 'topu', 'ileri', 'taşımaktır.işte', 'anlamadığınız', 'nokta', 'bu.yok', 'efendin', 'traktörün', 'halicesiymiş', 'yok', 'efendim', 'otomatik', 'vitesi', 'olmamış', 'var', 'kardeşim', 'var', 'sen', 'merak', 'etme.anlamadığınız', 'nokta', 'araç', 'kullanılan', 'kapasitede', 'türk', 'mühendislerin', 'oranı', 'artmıştır.eski', 'projelerde', '30', 'türk', 'mühendisliği', '70', 'italyan', 'iken', 'şuan', 'rakamlar', 'tersine', 'dönmüş', 'durumda.ama', 'sen', 'bilirsin', 'git', 'pahalı', 'birşeyler', 'al', 'neysekeyfiniz', 'bilir']"
fiat egea,29,fiat egea,2,"otomatik vites seçeneğinin sosyal medya hesaplarında 2016 ocak ayında geleceğini belirten ancak kardan zarar etmemek için manuel'i hemen piyasaya sürülmüş olan araba. ""otomatiğini yapmayı unutmuşlar"" sadece güldürmüştür. zira bunu yazan insan bence asla b-c sedan arabalardaki manuel/otomatik dengesini bilmiyordur.","['otomatik', 'vites', 'seçeneğinin', 'sosyal', 'medya', 'hesaplarında', '2016', 'ocak', 'ayında', 'geleceğini', 'belirten', 'ancak', 'kardan', 'zarar', 'etmemek', 'manuel', 'i', 'hemen', 'piyasaya', 'sürülmüş', 'olan', 'araba', '``', 'otomatiğini', 'yapmayı', 'unutmuşlar', ""''"", 'sadece', 'güldürmüştür', 'zira', 'bunu', 'yazan', 'insan', 'bence', 'asla', 'b-c', 'sedan', 'arabalardaki', 'manuel/otomatik', 'dengesini', 'bilmiyordur']"
fiat egea,29,fiat egea,3,"aga anlamadığım şeylerden biri de bu bok atma olayı. neymiş on lira daha ver de şunu almış, bunu almış. al kardeşim eline yapışan mı var?benim cebimde misal 30 bin lira var, veya arabam 30 bin liralık. öyle 10 daha ver olmuyor işte. 20 bin lira yerine 30 bin lira veriyor oluyorsun. zaten adam da 10 bin lira daha ucuz olsun diye böyle bir araba yapıyor. bu arada ötv'den de kimse bahsetmiyor. kafadan hesapla bu arabanın vergisiz satış fiyatı 30 bin lira falan oluyor. deseler ki ülke içinde üretilen arabalarda ötv %45 değil de % 20 olacak o zaman bu araba gerçek fiyatını bulur. o zaman da kalite fiyat bazında farkı ortaya çıkar.gelelim fiat'ın kalitesine, az yakacağı kesin, güvenlik ve tasarım olarak fiat 500 ile birlikte fiat piyasada artık ""ucuz"" arabadan daha çok ""kaliteli - ekonomik"" araba olmaya çalışıyor. egea da ispat arabalarından biri olacak. bir honda veya toyota ile kıyaslamamak lazım. onlar da bir üst markalarla yarışır hale gelmeye çalışıyorlar. gerçi toyota için bunu söylemek zor. neyse. bu arada yedek parça fiyatlarına da bir bakınız bakalım, o on bin liralık fark bi arıza durumunda kaça yükseliyor.bi de ""yağmur sensörcüler"" var bu araba piyasasında, neymiş okeymiş de bir yağmur sensörü bile yokmuş. ya arkadaşım, kaçı kaç kuruşluk teknoloji, bi tane yapıştırma sensor, aç kapa devresine bağlıyorsun bitiyor, anlayacağın fotoselden hallice bi sistem. sanki sabah akşam yağmur yağıyor. o değil gören de yağmur yağınca kolunu camdan çıkarıp ön camı eliyle siliyor zannedecek. bırakın bunları.","['aga', 'anlamadığım', 'şeylerden', 'bok', 'atma', 'olayı', 'neymiş', 'on', 'lira', 'ver', 'şunu', 'almış', 'bunu', 'almış', 'al', 'kardeşim', 'eline', 'yapışan', 'var', 'benim', 'cebimde', 'misal', '30', 'bin', 'lira', 'var', 'arabam', '30', 'bin', 'liralık', 'öyle', '10', 'ver', 'olmuyor', 'işte', '20', 'bin', 'lira', 'yerine', '30', 'bin', 'lira', 'veriyor', 'oluyorsun', 'zaten', 'adam', '10', 'bin', 'lira', 'ucuz', 'olsun', 'böyle', 'bir', 'araba', 'yapıyor', 'arada', ""ötv'den"", 'kimse', 'bahsetmiyor', 'kafadan', 'hesapla', 'arabanın', 'vergisiz', 'satış', 'fiyatı', '30', 'bin', 'lira', 'falan', 'oluyor', 'deseler', 'ülke', 'içinde', 'üretilen', 'arabalarda', 'ötv', '45', 'değil', '20', 'olacak', 'zaman', 'araba', 'gerçek', 'fiyatını', 'bulur', 'zaman', 'kalite', 'fiyat', 'bazında', 'farkı', 'ortaya', 'çıkar.gelelim', ""fiat'ın"", 'kalitesine', 'yakacağı', 'kesin', 'güvenlik', 'tasarım', 'olarak', 'fiat', '500', 'birlikte', 'fiat', 'piyasada', 'artık', '``', 'ucuz', ""''"", 'arabadan', '``', 'kaliteli', 'ekonomik', ""''"", 'araba', 'olmaya', 'çalışıyor', 'egea', 'ispat', 'arabalarından', 'olacak', 'bir', 'honda', 'toyota', 'kıyaslamamak', 'lazım', 'onlar', 'bir', 'üst', 'markalarla', 'yarışır', 'hale', 'gelmeye', 'çalışıyorlar', 'gerçi', 'toyota', 'bunu', 'söylemek', 'zor', 'neyse', 'arada', 'yedek', 'parça', 'fiyatlarına', 'bir', 'bakınız', 'bakalım', 'on', 'bin', 'liralık', 'fark', 'bi', 'arıza', 'durumunda', 'kaça', 'yükseliyor.bi', '``', 'yağmur', 'sensörcüler', ""''"", 'var', 'araba', 'piyasasında', 'neymiş', 'okeymiş', 'bir', 'yağmur', 'sensörü', 'bile', 'yokmuş', 'arkadaşım', 'kaçı', 'kaç', 'kuruşluk', 'teknoloji', 'bi', 'tane', 'yapıştırma', 'sensor', 'aç', 'kapa', 'devresine', 'bağlıyorsun', 'bitiyor', 'anlayacağın', 'fotoselden', 'hallice', 'bi', 'sistem', 'sabah', 'akşam', 'yağmur', 'yağıyor', 'değil', 'gören', 'yağmur', 'yağınca', 'kolunu', 'camdan', 'çıkarıp', 'ön', 'camı', 'eliyle', 'siliyor', 'zannedecek', 'bırakın', 'bunları']"
fiat egea,29,fiat egea,4,otomatik vitesi olacak olan araç. kesin bilgi yayalım! ;),"['otomatik', 'vitesi', 'olacak', 'olan', 'araç', 'kesin', 'bilgi', 'yayalım']"
fiat egea,29,fiat egea,5,matematik olarak fiat markasının cebir tutkusunu kanıtlayan götürgeç modeli.(bkz: ea(alb+lin+eg)=x),"['matematik', 'olarak', 'fiat', 'markasının', 'cebir', 'tutkusunu', 'kanıtlayan', 'götürgeç', 'modeli', 'bkz', 'ea', 'alb+lin+eg', '=x']"
fiat egea,29,fiat egea,6,erdal beşikçioğlu'nun tüm karizmasıyla ilk reklamı yapılmış olan fiat arabası,"['erdal', ""beşikçioğlu'nun"", 'karizmasıyla', 'ilk', 'reklamı', 'yapılmış', 'olan', 'fiat', 'arabası']"
fiat egea,29,fiat egea,7,station kasası tutar. çünkü yıllardır bu segmentte aracı yok fiat'ın.,"['station', 'kasası', 'tutar', 'yıllardır', 'segmentte', 'aracı', 'yok', ""fiat'ın""]"
fiat egea,29,fiat egea,8,"herseyi gectim, su berbat fiat amblemının acılen revize edılmesı gerekıyor. hani arac cok kotu gorunmuyor ama onden bakıldıgında, su berbat ve yuvarlak amblem, olmamısssss dıye bagırıyor.","['herseyi', 'gectim', 'su', 'berbat', 'fiat', 'amblemının', 'acılen', 'revize', 'edılmesı', 'gerekıyor', 'hani', 'arac', 'cok', 'kotu', 'gorunmuyor', 'onden', 'bakıldıgında', 'su', 'berbat', 'yuvarlak', 'amblem', 'olmamısssss', 'dıye', 'bagırıyor']"
fiat egea,29,fiat egea,9,dallamanın biri de demiş kendini ispat etmiş motorlara yönelin diye.ulan multijet motor 10yıldır sikip atmadımı dci motorla birlikte.dayanıklılıkta 800bin kilometrelere kadar gidiyor.az yakıyo.multijet motoru hdi den aşağıda gören gayleri göstermiştir bu başlık bize.yazar olabilmişsin ama adam olamamışsın derler adama.,"['dallamanın', 'demiş', 'kendini', 'ispat', 'etmiş', 'motorlara', 'yönelin', 'diye.ulan', 'multijet', 'motor', '10yıldır', 'sikip', 'atmadımı', 'dci', 'motorla', 'birlikte.dayanıklılıkta', '800bin', 'kilometrelere', 'kadar', 'gidiyor.az', 'yakıyo.multijet', 'motoru', 'hdi', 'den', 'aşağıda', 'gören', 'gayleri', 'göstermiştir', 'başlık', 'bize.yazar', 'olabilmişsin', 'adam', 'olamamışsın', 'derler', 'adama']"
fiat egea,29,fiat egea,10,şimdi reklamlar.,"['şimdi', 'reklamlar']"
fiat egea,30,fiat egea,1,"fiat markasının son yıllarda ürettiği -açık ara- en iyi araç.kullanıcıları tarafından beğenilen bravo da dahil olmak üzere bu araç diğer fiat markalı araçlardan ve son dönem alfalardan daha iyi. küfür etmeden beklerseniz altta açıklayacağım sonlarda.bi kere şunu diyeyim; yerli otomobil diye birşey varsa o da bu. yani saab ın gm epsilon platformu üzerine saab 9-3ü aynen ittirmedi tofaş türkiye. ayrıca büyük bir risk alarak her türlü onay süreci türkiye de türk sorumlular tarafından verildi. şöyle söyleyeyim; normalde (diğer grupları komple bilmiyorum iddia etmeyeyim ama bir kısmı az sonra açıklayacağım şekilde) bir firmanın partner üretim grubu bir karar aldığında, örneğin dashboard da kullanılacak iletim kablolarından tutun koltukların cinsine, aklınıza gelecek her türlü bileşene dair kararlar son tahlilde ""merkez"" tarafından verilir. tofaş-fiat ilişkisi de farklı değildir. daha doğrusu bu araçta öyle olmadı. her türlü karar türk mühendisler tarafından verildi, onaylar türkiye de verildi italya'da değil. çok ama çok ciddi biçimde yerlilik oranı yüksek bir araç bu. ayrıca avrupa da satışa çıkacağı için çok daha kaliteli bir üretim var. tasarım dili aynı olsa da diğer modellerden iç tasarım ve işçilik olarak kesinlikle daha kaliteli. ayrıca fiat bu araca 5 yıl garanti veriyor ki bu da içindeki her bir parçanın eskime döngüsünün 3 değil 5 yıla göre tasarlandığı, geliştirildiği anlamına geliyor. yani bugüne kadar çıkan fiat ürünlerinden daha dayanıklı ve sağlam malzeme var. marka, hatta fiat grubu binek otomobilleri genelinde çok önemli bir detay; bu araç, alfa romeo'lar dahil olmak üzere, fiat tarihinde gelmiş geçmiş en yüksek kalite puanını almış araç. hem de ikinci ile çok ama çok dramatik bir puan farklı ile. burada olay ""ceylan derisi kullanmak"" benzetmesi değil, aracın üretim sürecinde italyadan gelen kalite kontrol departmanı aracımilyonlarca km kullanıp, çok ama çok sert kullanıp üstüne üstlük araçları amiyane tabirle ""atomlarına ayırıp"" aracı merhametten yoksun şekilde kontrol ediyor. her malzemenin kendi kalite puan katsayısı var bunlar bazıları 3 bazıları 10 diye diye toplanıyor. elde edilen puan hiç bir modelle bugüne kadar eşleşmeyen, açık fark atan bir puan. şase dengesi, burulma testleri sonuçları, fiat ın geçmiş ürünlerinden dha üst noktada değerlerde. çok önemli bir olay euroncap hadisesi. avrupa da satılacağı için kaçınılmaz şekilde ncap skoru var. şu ana kadsr fiat ın maaşlı personeli gibi yazmış olsam da şunu diyeyim; 3 ya da 4 yıldız almış araç, varsa bu skoru tam bilenler bana bir yeşil kadar uzakta. bence düşük, 3 ise vay vay...mevcut sedan model linea yerine, b sedan ama kesinlikle çok daha kaliteli bir makina. ne yapsam alsam mı diye düşünenlere; arkadaşlar seneye c sınıfı hatchback gelecek ve malzeme kalitesi ""mevcut sedandan daha iyi olacak"" aynı şekilde sw versiyon da... otomatik şanzıman dualogic mi yoksa tct mi olacak henüz bilmiyorum ama tct için duacıyız.( edit: zf e ihtimal vermiyorum)tofaş'ın, oradaki yüzlerce mühendis ve onlarca karar alıcı için başarılı bir sınav olduğunu düşünüyorum. hız ve konfor limitleri, ilk kullanıcı geri dönüşleri ve sorunlara dair yorumlar alındıktan sonra alınması düşünülmelidir bence ama şahsi fikrim bu aracın saab dan arak araç denemelerinden çok daha kıymetli bir efor olduğudur.","['fiat', 'markasının', 'son', 'yıllarda', 'ürettiği', '-açık', 'ara-', 'iyi', 'araç.kullanıcıları', 'tarafından', 'beğenilen', 'bravo', 'dahil', 'olmak', 'üzere', 'araç', 'diğer', 'fiat', 'markalı', 'araçlardan', 'son', 'dönem', 'alfalardan', 'iyi', 'küfür', 'etmeden', 'beklerseniz', 'altta', 'açıklayacağım', 'sonlarda.bi', 'kere', 'şunu', 'diyeyim', 'yerli', 'otomobil', 'varsa', 'saab', 'ın', 'gm', 'epsilon', 'platformu', 'üzerine', 'saab', '9-3ü', 'aynen', 'ittirmedi', 'tofaş', 'türkiye', 'ayrıca', 'büyük', 'bir', 'risk', 'alarak', 'türlü', 'onay', 'süreci', 'türkiye', 'türk', 'sorumlular', 'tarafından', 'verildi', 'şöyle', 'söyleyeyim', 'normalde', 'diğer', 'grupları', 'komple', 'bilmiyorum', 'iddia', 'etmeyeyim', 'bir', 'kısmı', 'sonra', 'açıklayacağım', 'şekilde', 'bir', 'firmanın', 'partner', 'üretim', 'grubu', 'bir', 'karar', 'aldığında', 'örneğin', 'dashboard', 'kullanılacak', 'iletim', 'kablolarından', 'tutun', 'koltukların', 'cinsine', 'aklınıza', 'gelecek', 'türlü', 'bileşene', 'dair', 'kararlar', 'son', 'tahlilde', '``', 'merkez', ""''"", 'tarafından', 'verilir', 'tofaş-fiat', 'ilişkisi', 'farklı', 'değildir', 'doğrusu', 'araçta', 'öyle', 'olmadı', 'türlü', 'karar', 'türk', 'mühendisler', 'tarafından', 'verildi', 'onaylar', 'türkiye', 'verildi', ""italya'da"", 'değil', 'ciddi', 'biçimde', 'yerlilik', 'oranı', 'yüksek', 'bir', 'araç', 'ayrıca', 'avrupa', 'satışa', 'çıkacağı', 'kaliteli', 'bir', 'üretim', 'var', 'tasarım', 'dili', 'aynı', 'olsa', 'diğer', 'modellerden', 'iç', 'tasarım', 'işçilik', 'olarak', 'kesinlikle', 'kaliteli', 'ayrıca', 'fiat', 'araca', '5', 'yıl', 'garanti', 'veriyor', 'içindeki', 'bir', 'parçanın', 'eskime', 'döngüsünün', '3', 'değil', '5', 'yıla', 'göre', 'tasarlandığı', 'geliştirildiği', 'anlamına', 'geliyor', 'bugüne', 'kadar', 'çıkan', 'fiat', 'ürünlerinden', 'dayanıklı', 'sağlam', 'malzeme', 'var', 'marka', 'hatta', 'fiat', 'grubu', 'binek', 'otomobilleri', 'genelinde', 'önemli', 'bir', 'detay', 'araç', 'alfa', ""romeo'lar"", 'dahil', 'olmak', 'üzere', 'fiat', 'tarihinde', 'gelmiş', 'geçmiş', 'yüksek', 'kalite', 'puanını', 'almış', 'araç', 'ikinci', 'dramatik', 'bir', 'puan', 'farklı', 'burada', 'olay', '``', 'ceylan', 'derisi', 'kullanmak', ""''"", 'benzetmesi', 'değil', 'aracın', 'üretim', 'sürecinde', 'italyadan', 'gelen', 'kalite', 'kontrol', 'departmanı', 'aracımilyonlarca', 'km', 'kullanıp', 'sert', 'kullanıp', 'üstüne', 'üstlük', 'araçları', 'amiyane', 'tabirle', '``', 'atomlarına', 'ayırıp', ""''"", 'aracı', 'merhametten', 'yoksun', 'şekilde', 'kontrol', 'ediyor', 'malzemenin', 'kendi', 'kalite', 'puan', 'katsayısı', 'var', 'bunlar', 'bazıları', '3', 'bazıları', '10', 'toplanıyor', 'elde', 'edilen', 'puan', 'bir', 'modelle', 'bugüne', 'kadar', 'eşleşmeyen', 'açık', 'fark', 'atan', 'bir', 'puan', 'şase', 'dengesi', 'burulma', 'testleri', 'sonuçları', 'fiat', 'ın', 'geçmiş', 'ürünlerinden', 'dha', 'üst', 'noktada', 'değerlerde', 'önemli', 'bir', 'olay', 'euroncap', 'hadisesi', 'avrupa', 'satılacağı', 'kaçınılmaz', 'şekilde', 'ncap', 'skoru', 'var', 'ana', 'kadsr', 'fiat', 'ın', 'maaşlı', 'personeli', 'yazmış', 'olsam', 'şunu', 'diyeyim', '3', '4', 'yıldız', 'almış', 'araç', 'varsa', 'skoru', 'tam', 'bilenler', 'bana', 'bir', 'yeşil', 'kadar', 'uzakta', 'bence', 'düşük', '3', 'vay', 'vay', '...', 'mevcut', 'sedan', 'model', 'linea', 'yerine', 'b', 'sedan', 'kesinlikle', 'kaliteli', 'bir', 'makina', 'yapsam', 'alsam', 'düşünenlere', 'arkadaşlar', 'seneye', 'c', 'sınıfı', 'hatchback', 'gelecek', 'malzeme', 'kalitesi', '``', 'mevcut', 'sedandan', 'iyi', 'olacak', ""''"", 'aynı', 'şekilde', 'sw', 'versiyon', '...', 'otomatik', 'şanzıman', 'dualogic', 'mi', 'yoksa', 'tct', 'mi', 'olacak', 'henüz', 'bilmiyorum', 'tct', 'duacıyız', 'edit', 'zf', 'e', 'ihtimal', 'vermiyorum', ""tofaş'ın"", 'oradaki', 'yüzlerce', 'mühendis', 'onlarca', 'karar', 'alıcı', 'başarılı', 'bir', 'sınav', 'olduğunu', 'düşünüyorum', 'hız', 'konfor', 'limitleri', 'ilk', 'kullanıcı', 'geri', 'dönüşleri', 'sorunlara', 'dair', 'yorumlar', 'alındıktan', 'sonra', 'alınması', 'düşünülmelidir', 'bence', 'şahsi', 'fikrim', 'aracın', 'saab', 'dan', 'arak', 'araç', 'denemelerinden', 'kıymetli', 'bir', 'efor', 'olduğudur']"
