Araç,Sayfa,Başlık,Entry No,Entry Metni,Lemmatize Entry Metni
fiat egea,31,fiat egea,2,üretimi bursa'da yapılan fiat marka araç modeli,üretimi bursa'da yapılan fiat marka araç modeli
fiat egea,31,fiat egea,3,"alfa romeo çizgileriyle yapılan bir tür albea...modern ekipmanlar eklenmiş içine tabi birde...güzel taksi, şirket arabası falan olur bundan...","alfa romeo çizgileriyle yapılan bir tür albea ... modern ekipmanlar eklenmiş içine tabi birde ... güzel taksi , şirket arabası falan olur bundan ..."
fiat egea,31,fiat egea,4,"yeni audi a3'ün (çıkalı uzun zaman oldu) satış eğrisine benzer bir eğriye sahip olacaktır.ilk dönem satışı genellikle kiralama şirketlerine yapılacak, kiralama şirketleri yüksek sayıda araç almayacak, düşük sayıda araçla talebi yoklayacaktır. şahıs olarak görülecek ilk 4-5 aylık alımlar ağırlıkla otomotivlerin ileride stok sorunu olur diye ellerinin altında tutup sıra bekleme vs. durumlarında şahıslara 2.000-3.000 tl kârla satmak için bekletecekleri arabalar olacak.en az 6 ay boyunca ne kadar sayılacağına dair net tahmin yapılmaz diye düşünüyorum, şunu da unutmayalım günümüzde şirketler öyle tek kararla kiralama şirketlerinden 70.000-80.000 tl'lik araçlara kiralama yapmazlar, yapsalarda tercihleri fiat egea değil üst markaların az sorun çıkaran düşük yakıt tüketimli araçlarını tercih edeceklerdir. kimse kendini kandırmasın.","yeni audi akü'n ( çıkalı uzun zaman oldu ) satış eğrisine benzer bir eğriye sahip olacaktır . ilk dönem satışı genellikle kiralama şirketlerine yapılacak , kiralama şirketleri yüksek sayıda araç almayacak , düşük sayıda araçla talebi yoklayacaktır . şahıs olarak görülecek ilk 4-5 aylık alımlar ağırlıkla otomotivlerin ileride stok sorunu olur diye ellerinin altında tutup sıra bekleme vs durumlarında şahıslara 2.000 -3.000 tl karla satmak için bekletecekleri arabalar olacak . en az 6 ay boyunca ne kadar sayılacağına dair net tahmin yapılmaz diye düşünüyorum , şunu da unutmayalım günümüzde şirketler öyle tek kararla kiralama şirketlerinden 70.000 -80.000 tl'lık araçlara kiralama yapmazlar , yasalarda tercihleri fiyat eğer değil üst markaların az sorun çıkaran düşük yakıt tüketimli araçlarını tercih edeceklerdir . kimse kendini kandırmasın ."
fiat egea,31,fiat egea,5,otomatik vitesi yok :s,otomatik vitesi yok : s
fiat egea,31,fiat egea,6,"sadece manuel şanzıman olması nedeniyle gelen eleştiriler var ancak yakın zamanda hem dizel otomatik hem de benzinli otomatik versiyonlarının geleceği bilgisi doğrulandı. her ikisi de 1.6 olacak. üstelik sıralı otomatikleştirilmiş şanzıman değil, çift kavramalı otomatik! (dsg vb)","sadece manuel şanzıman olması nedeniyle gelen eleştiriler var ancak yakın zamanda hem dizel otomatik hem de benzinli otomatik versiyonlarının geleceği bilgisi doğrulandı . her ikisi de 1.6 olacak . üstelik sıralı otomatikleştirilmiş şanzıman değil , çift kavramalı otomatik ! ( dsg vb )"
fiat egea,31,fiat egea,7,"fiat'ın linea modelinin yerini alacak yeni otomobili. görünüşü falan da fena durmuyor. alacaksın 1.3 multijet motorlusunu, bineceksin eşek gibi. linea öyleydi şayet bunun da mazotu koklamakla beraber, ekstradan daha konforlu olması gerektiğini düşünüyorum. yoksa fiat aynı yerinde sayacak.","fiat'ın linea modelinin yerini alacak yeni otomobili . görünüşü falan da fena durmuyor . alacaksın 1.3 multijet motorlusunu , bineceksin eşek gibi . linea öyleydi şayet bunun da mazotu koklamakla beraber , ekstradan daha konforlu olması gerektiğini düşünüyorum . yoksa fiyat aynı yerinde sayacak ."
fiat egea,31,fiat egea,8,yeni dogan slx'tir. otomatik vites opsiyonunun olmamasiyla bu tezi desteklemektedir.sahin hangisi diyenler icin (bkz: fiat linea),yeni doğan slx'tır . otomatik vites opsiyonunun olmamasıyla bu tezi desteklemektedir . şahin hangisi diyenler için ( bkz : fiat linea )
fiat egea,31,fiat egea,9,"milyon dolarlık araç dizayn edip, yetmişbin türk lirasına satılmış araca taksi metre bağlantı modifikasyonu koymayı akıl edememişler.","milyon dolarlık araç dizayn edip , yetmiştin türk lirasına satılmış araca taksi metre bağlantı modifikasyonu koymayı akıl edememişler ."
fiat egea,31,fiat egea,10,çok net bi şekilde; tasarımıyla bmw 3 serisinden araklayan araba. teknik detayını bilmiyorum.,çok net bir şekilde ; tasarımıyla bmw 3 serisinden araklayan araba . teknik detayını bilmiyorum .
fiat egea,32,fiat egea,1,"reklamındaki bir cümleye, daha doğrusu sloganına takıldığım otomobil. diyor ki amirim:"" iyi bir otomobil sahibi olmak, artık ayrıcalık değil.""şunu demek istiyor: biz size ayrıcalık sunmuyoruz. egea sahibi olmak sıradan bir şeydir. herkes olabilir.tıpkı zenginler gibi siz fakirler de kalite hissini yaşayabilirsiniz.zaten en başta ne diyor: istediklerini kolayca elde edebilenler kanalı çevirebilir. yani parası pulu olan, ""ayrıcalıklı"" insanlara sesleniyor.siz fakirler beri gelin diyor.bunu bir avea bir de regal yapıyordu. fiat da yapmış bu reklamla. ama otomobilin kendini özel hissetme temalı bir olgu olmasından mütevellit yanlış bir reklam politikası olduğunu düşünüyorum. çünkü özünde otomobil, çamaşır makinesi ya da şebeke operatörüne göre daha mahrem bir alandır. otomobilin bir karakteristiği vardır, örneğin a4, bmw 5, passat, golf, focus kimliği olan arabalarken, egea'yı gereksiz yere basitleştirmiş fiat.","reklamındaki bir cümleye , daha doğrusu sloganına takıldığım otomobil . diyor ki amirim : "" iyi bir otomobil sahibi olmak , artık ayrıcalık değil . "" şunu demek istiyor : biz size ayrıcalık sunmuyoruz . eğer sahibi olmak sıradan bir şeydir . herkes olabilir . tıpkı zenginler gibi siz fakirler de kalite hissini yaşayabilirsiniz . zaten en başta ne diyor : istediklerini kolayca elde edebilenler kanalı çevirebilir . yani parası pulu olan , "" ayrıcalıklı "" insanlara sesleniyor . siz fakirler beri gelin diyor . bunu bir avea bir de regal yapıyordu . fiyat da yapmış bu reklamla . ama otomobilin kendisini özel hissetme temalı bir olgu olmasından mütevellit yanlış bir reklam politikası olduğunu düşünüyorum . çünkü özünde otomobil , çamaşır makinesi ya da şebeke operatörüne göre daha mahrem bir alandır . otomobilin bir karakteristiği vardır , örneğin a4 , bmw 5 , passat , golf , focus kimliği olan arabalarken , egea'yı gereksiz yere basitleştirmiş fiyat ."
fiat egea,32,fiat egea,2,erdal beşikçioğlu'nun reklamında oynamış arabadır.,erdal beşikçioğlu'nun reklamında oynamış arabadır .
fiat egea,32,fiat egea,3,"dün akşam ilk defa trafikte beyaz bir versiyonuna denk geldim. beyaz arabada bence çirkin bir renk, onu saymazsak dış hatları ve genel tasarımı gerçekten iyi, hiç fiat gibi durmuyor.","dün akşam ilk defa trafikte beyaz bir versiyonuna denk geldim . beyaz arabada bence çirkin bir renk , onu saymazsak dış hatları ve genel tasarımı gerçekten iyi , hiç fiyat gibi durmuyor ."
fiat egea,32,fiat egea,4,fiyati birazdaha uygun olabilirdi ayrica ic gogus kisminida biraz sade yapmislar daha da goze hitap eden bir seyler yapilabikir. 1.6 az yakar cok kacar alani pisman etmeyecegine inaniyorum,fiyatı biraz daha uygun olabilirdi ayrıca iç göğüs kısmında biraz sade yapmışlar daha da göze hitap eden bir şeyler yapılabilir . 1.6 az yakar çok kaçar alanı pişman etmeyeceğine inanıyorum
fiat egea,32,fiat egea,5,"iyidir kötüdür bilemem ama rakibi (sınıf olarak değil, kullanım alanı orta segment son kullanıcı, filo, şirket aracı vb) olacak renault fluence'den tasarım açısından çok önde bir araçtır.","iyidir kötüdür bilemem ama rakibi ( sınıf olarak değil , kullanım alanı orta segment son kullanıcı , filo , şirket aracı vb ) olacak renault fluenceden tasarım açısından çok önde bir araçtır ."
fiat egea,32,fiat egea,6,"2015 model,temmuz trafiğe çıkışlı honda civic fabrikasyon lpg li otomatik vitesli premium donanımını ilk sahibinden daha 1 ay önce 61 bine almışken açıkcası fiyatı bana pahalı gelen model.tüm seceneklerinde en az 10 bin tl düşük fiyatla satılması durumunda normal olabilecek model.","2015 model , temmuz trafiğe çıkışlı onda civic fabrikasyon lpg li otomatik vitesli premium donanımını ilk sahibinden daha 1 ay önce 61 bine almışken açıkçası fiyatı bana pahalı gelen model . tüm seçeneklerinde en az 10 bin tl düşük fiyatla satılması durumunda normal olabilecek model ."
fiat egea,32,fiat egea,7,"inceleme fırsatı bulduğum yeni fiat sedanıdır.aslına bakacak olursak, fiat satıcıları buna karşı çıksa da aslında fiat linea'nın güncellenmiş versiyonu diyebiliriz. sadece fiat linea'nın ortak parça kullandığı platformu (bkz: fiat punto) değiştirmek için (bkz: fiat 500) yapılmış bir araba gibi duruyor. orta konsol ve dış hatlarda yeni fiat tasarım felsefesi göze çarpsa da küçük ayrıntılarda linea kendini hissettirmeye devam ediyor. oturma pozisyonu kesinlikle iyi ve yaşam alanı gerçekten çekici. bu çekicilik büyük ihtimalle parçaların çoğunu aldığı fiat 500 ailesi ile alakalı. parça kalitesi ve araç içi ses fiat standartlarında. soft touch düğmeler, teknolojik oyuncaklar ve desenli konsol kalite hissi yaratsa da kullanımda o kadar da kaliteli olmadıkları ortaya çıkıyor. fiyat konusunda eleştirenler olmuş ama bence fiyat olarak uygun (yarısı boyutunda arabaları 50000 tl'ye sattıklarını hesaba katarsak). tabii ki bu ""uygun"" lafı türkiye standartlarında geçerli olup aynı fiyata golf alan bir alman için anlam ifade etmeyecektir. mekanik ve bakım konularında eleştiri zaten çok yapılamaz bence. türkiye yollarında sıkça kullanılan motorlar kullanılıyor ve parça ve servis konusunda sıkıntı çıkmayacağı aşikar. dış tasarım konusunda da bayağı uğraşılmış belli, takdir etmek lazım. bagaj hacmi gene 3 cesetlik tasarlanmış. türkiye gibi geniş aile sedanlarının tercih edildiği pazarlarda ses getirebilir (gerçi rusya ve orta doğu pazarları şu anda hiç talepte bulunacakmış gibi görünmüyorlar). gelelim eksilere. güvenlik konusunda herhangi bir değerlendirme yok. linea için grande punto'nun verileri kullanabilirdik ama bu araç için bir baz bulunmuyor. bence artık 6 hava yastığı da tüm donanımlarda standart olmalı. çift kavramalı şanzımanlar 2016 yılından itibaren sunulacakmış. dizel otomatik isteyenler hazirana kadar bekleyecek. bu da otomobilin daha tam piyasaya çıkmadığı izlenimini yaratıyor. bagaj kapağındaki kaldırma düzeneği iyi düşünülmüş ama bagajda kullanılamayan bir alan yaratacak gibi duruyor. ön koltuk sırtlıkları ince ve yeni koltuk kumaşları fiat'ın efsane kadife kumaşını aratıyor. kısacası donanım ve fiyat konusunda egea bence 301 ve c-elysee'yi sollar, accent blue'yu da zorlar. hala satışta olsa idi belki chevrolet aveo fiyat konusunda zorlardı ama gm kendi topuğuna sıktığı için sıkıntı yok. renault'un da symbol ile pek karşısında duramayacağı bir araba ama fiyat politikası ile rekabet edebilir. artık koç ailesine 10 sene hayırlı kazançlar diliyorum.","inceleme fırsatı bulduğum yeni fiat şadanıdır . aslına bakacak olursak , fiyat satıcıları buna karşı çıksa da aslında fiat linea'nın güncellenmiş versiyonu diyebiliriz . sadece fiat linea'nın ortak parça kullandığı platformu ( bkz : fiat punto ) değiştirmek için ( bkz : fiat 500 ) yapılmış bir araba gibi duruyor . orta konsol ve dış hatlarda yeni fiat tasarım felsefesi göze çarpsa da küçük ayrıntılarda linea kendini hissettirmeye devam ediyor . oturma pozisyonu kesinlikle iyi ve yaşam alanı gerçekten çekici . bu çekicilik büyük ihtimalle parçaların çoğunu aldığı fiat 500 ailesi ile alakalı . parça kalitesi ve araç içi ses fiyat standartlarında . soft touch düğmeler , teknolojik oyuncaklar ve desenli konsol kalite hissi yaratsa da kullanımda o kadar da kaliteli olmadıkları ortaya çıkıyor . fiyat konusunda eleştirenler olmuş ama bence fiyat olarak uygun ( yarısı boyutunda arabaları 50000 tl'ye sattıklarını hesaba katarsak ) . tabii ki bu "" uygun "" lafı türkiye standartlarında geçerli olup aynı fiyata golf alan bir alman için anlam ifade etmeyecektir . mekanik ve bakım konularında eleştiri zaten çok yapılamaz bence . türkiye yollarında sıkça kullanılan motorlar kullanılıyor ve parça ve servis konusunda sıkıntı çıkmayacağı aşikar . dış tasarım konusunda da bayağı uğraşılmış belli , takdir etmek lazım . bagaj hacmi gene 3 cesetlik tasarlanmış . türkiye gibi geniş aile Senan'larının tercih edildiği pazarlarda ses getirebilir ( gerçi rusya ve orta doğu pazarları şu anda hiç talepte bulunacakmış gibi görünmüyorlar ) . gelelim eksilere . güvenlik konusunda herhangi bir değerlendirme yok . linea için grande puntonun verileri kullanabilirdik ama bu araç için bir baz bulunmuyor . bence artık 6 hava yastığı da tüm donanımlarda standart olmalı . çift kavramalı şanzımanlar 2016 yılından itibaren sunulacakmış . dizel otomatik isteyenler hazirana kadar bekleyecek . bu da otomobilin daha tam piyasaya çıkmadığı izlenimini yaratıyor . bagaj kapağındaki kaldırma düzeneği iyi düşünülmüş ama bagajda kullanılamayan bir alan yaratacak gibi duruyor . ön koltuk sırtlıkları ince ve yeni koltuk kumaşları fiat'ın efsane kadife kumaşını aratıyor . kısacası donanım ve fiyat konusunda eğer bence 301 ve c-elysee'yi sollar , accent Blue'ye da zorlar . hala satışta olsa idi belki chevrolet aveo fiyat konusunda zorlardı ama gm kendi topuğuna sıktığı için sıkıntı yok . renault'un da symbol ile pek karşısında duramayacağı bir araba ama fiyat politikası ile rekabet edebilir . artık koç ailesine 10 sene hayırlı kazançlar diliyorum ."
fiat egea,32,fiat egea,8,çok talep varmış.yersen.o fiyata başka alternatifler dururken egea alan adamlar kim cidden merak ediyorum.,çok talep varmış . yersen . o fiyata başka alternatifler dururken eğer alan adamlar kim cidden merak ediyorum .
fiat egea,32,fiat egea,9,"iyi bir pazarlıkla honda civic elegance 1.6 eco+multimedia navigasyon modelini 72 bin türklirasına alabiliyorken, bunu kim alır?","iyi bir pazarlıkla onda civic elegance 1.6 eco + multimedia navigasyon modelini 72 bin türk lirasına alabiliyorken , bunu kim alır ?"
fiat egea,32,fiat egea,10,bu fiyata güzellim corolla dururken bunu almanın saçmalık olarak nitelendirilebileceğim araç. bildiğin taksi. lineaların gelişmiş versiyonu. fiat kokuyor buram buram bi corollanın duruşu kalitesi yok. he 1.33 benzini anca alırsın bunun fiyatına ama bu alınmaz bu fiyata. he dersin 40 lira anlarımda 55 bin nedir amk,bu fiyata güzellim corolla dururken bunu almanın saçmalık olarak nitelendirilebileceğim araç . bildiğin taksi . lineaların gelişmiş versiyonu . fiyat kokuyor buram buram bir corollanın duruşu kalitesi yok . he 1.33 benzini anca alırsın bunun fiyatına ama bu alınmaz bu fiyata . he dersin 40 lira anlarımda 55 bin nedir amk
fiat egea,33,fiat egea,1,yine vw'den falan çok satacak otomobil. fiat yine ekşicileri üzecek.bir dahakine şu isimde bir otomobil üretin: (bkz: fiat yinemiya),yine V8'den falan çok satacak otomobil . fiyat yine eksicileri üzecek . bir dahakine şu isimde bir otomobil üretin : ( bkz : fiyat yinemiya )
fiat egea,33,fiat egea,2,kendisi ortaya ciktigindan beri bravo'nun nereye kayboldugunu merak ettiren aractir. modellerin arasinda bravo yok yine.edit: mesaj atanlara tesekkur ederim. 2015 basindan itibaren gelmemeye baslamis islakhavluya tesekkurler.onumuzdeki yil mayis haziran gibi de yerini hatchback egea alacakmis. bu bilgi icin de yonura tesekkurler.,kendisi ortaya çıktığından beri bravo'nun nereye kaybolduğunu merak ettiren araçtır . modellerin arasında bravo yok yine . edit : mesaj atanlara teşekkür ederim . 2015 başından itibaren gelmemeye başlamış ıslakhavluya teşekkürler . önümüzdeki yıl mayıs haziran gibi de yerini hatchback eğer alacakmış . bu bilgi için de yönura teşekkürler .
fiat egea,33,fiat egea,3,linea nın gelişmişi fazlada bişi beklememek gerek.,lineanın gelişmişi fazlada bir şey beklememek gerek .
fiat egea,33,fiat egea,4,yurt dışında tipo diye satılıyormuş,yurt dışında tipo diye satılıyormuş
fiat egea,33,fiat egea,5,"1.6 dizel full modelini 5 gün içerisinde 2.300 km yol teperek test ettiğim araç.artıları;+ konfor konusunda linea'dan fersah fersah önde (bu araç yeni linea mı sorusuna istinaden)+ yakıt tüketimi hiç fena değil. ben test boyunca (%70 şehir dışı %30 şehir içi denilebilir) yaklaşık 5.3 lt/100 km yakıt tüketti. tabi ki 6. viteste 120 km/h hızla giderken araç 2000 d/d bile çevirmediği için sakin kullanımlarda uzun yolda 4 litre civarında tüketime ulaşmak hiç zor değil. 1.345 kg ağırlığındaki bir araç için bence çok başarılı değerler bunlar.+ sürücü koltuğundaki elektrikli bel desteği zaman zaman masaj yaparak sizi ilgi şımarığı yapabiliyor. bahsettiğim 5 gün içerisinde toplamda 30 saatten fazla koltukta oturmama rağmen sırt ve baldır desteğiyle konfor konusunda sıkıntı yaşatmadı.+ özellikle city modunda direksiyon hareketleri inanılmaz rahat. tek bir parmağınızla zorlanmadan direksiyonu çevirebiliyorsunuz.+ araç 120 bg güç ve 320 nm tork kombinasyonu ile performans konusunda sıkıntı yaşatmıyor. ancak vites oranları oldukça uzun tutulmuş. + araç oldukça sessiz. özellikle rüzgar ve lastik sesi içeriye fazla girmiyor. motor sesi ise kabul edilebilir düzeyde.gelelim eksilere;- yukarıda da bahsettiğim bazı yerlerde malzeme kalitesi keşke daha iyi olsaymış dedirtiyor.- yol tutuşu kesinlikle kötü değil ama sanki bir tık daha yukarıda olabilirdi. yani araç muadili bir focus kadar iyi yol tutmuyor denilebilir.- araçta bazı donanım eksiklikleri var. örneğin elektrikli katlanır aynalar, otomatik fren ve park sistemi, yorgunluk uyarı asistanı, arka tarafta havalandırma kanalları veya çift bölmeli klima gibi günümüzde bir çok ""full"" araçta görebildiğimiz donanımlar maalesef bu araçta yoktu. ne artı ne eksi denilebilecek özellikleri;* aracın ön konsolundaki malzeme kalitesi oldukça iyi. tabi ki küçük işçilik hataları ve yer yer sert plastik malzeme kullanılmasından ötürü kalite hissi bazı noktalarda zayıf.* oldukça geniş ve konforlu koltukları var. özellikle ön koltuklar uzun boylu insanlar için bile rahat. ancak arka koltuklarda diz mesafesi yeterli olsa da boyunuz 1.85'in üzerindeyse kafanız tavana değiyor.* aracın geri görüş kamerası oldukça başarılı çalışıyor. fakat orta konsoldaki ekran sanki biraz daha büyük olabilirmiş. ayrıca araçtaki navigasyon sistemi genel olarak başarı olmakla birlikte maalesef yer belirme konusunda leb demeden leblebiyi anlayamıyor. yani anıtkabir yazınca bulamıyor ama gençlik caddesi yazında buluyor..vb. gibi. bir de ekranın küçük olmasından dolayı klavye butonları da oldukça küçük kalıyor. ince parmaklı birisi değilseniz hareket halindeyken yanlışlıkla farklı harflere tıklama ihtimaliniz oldukça yüksek.özetlemek gerekirse; test ettiğim aracın fiyatı olan 67.000 tl için donanım eksikliklerine rağmen gerek konforu gerekse ekonomi/perfomans oranı ile tercih edilebilir bir araç olduğunu rahatlıkla söyleyebilirim.eyyorlamam bu kadar.","1.6 dizel full modelini 5 gün içerisinde 2.300 km yol teperek test ettiğim araç . artıları ; + konfor konusunda lineadan fersah fersah önde ( bu araç yeni linea mı sorusuna istinaden ) + yakıt tüketimi hiç fena değil . ben test boyunca ( %70 şehir dışı %30 şehir içi denebilir ) yaklaşık 5.3 lt / 100 km yakıt tüketti . tabi ki 6. viteste 120 km / h hızla giderken araç 2000 d / d bile çevirmediği için sakin kullanımlarda uzun yolda 4 litre civarında tüketime ulaşmak hiç zor değil . 1.345 kg ağırlığındaki bir araç için bence çok başarılı değerler bunlar . + sürücü koltuğundaki elektrikli bel desteği zaman zaman masaj yaparak sizi ilgi şımarığı yapabiliyor . bahsettiğim 5 gün içerisinde toplamda 30 saatten fazla koltukta oturmama rağmen sırt ve baldır desteğiyle konfor konusunda sıkıntı yaşatmadı . + özellikle city modunda direksiyon hareketleri inanılmaz rahat . tek bir parmağınızla zorlanmadan direksiyonu çevirebiliyorsunuz . + araç 120 bg güç ve 320 nm tork kombinasyonu ile performans konusunda sıkıntı yaşatmıyor . ancak vites oranları oldukça uzun tutulmuş . + araç oldukça sessiz . özellikle rüzgar ve lastik sesi içeriye fazla girmiyor . motor sesi ise kabul edilebilir düzeyde . gelelim eksilere ; - yukarıda da bahsettiğim bazı yerlerde malzeme kalitesi keşke daha iyi olsaymış dedirtiyor . - yol tutuşu kesinlikle kötü değil ama sanki bir tık daha yukarıda olabilirdi . yani araç muadili bir focus kadar iyi yol tutmuyor denebilir . - araçta bazı donanım eksiklikleri var . örneğin elektrikli katlanır aynalar , otomatik fren ve park sistemi , yorgunluk uyarı asistanı , arka tarafta havalandırma kanalları veya çift bölmeli klima gibi günümüzde bir çok "" full "" araçta görebildiğimiz donanımlar maalesef bu araçta yoktu . ne artı ne eksi denebilecek özellikleri ; * aracın ön konsolundaki malzeme kalitesi oldukça iyi . tabi ki küçük işçilik hataları ve yer yer sert plastik malzeme kullanılmasından ötürü kalite hissi bazı noktalarda zayıf . * oldukça geniş ve konforlu koltukları var . özellikle ön koltuklar uzun boylu insanlar için bile rahat . ancak arka koltuklarda diz mesafesi yeterli olsa da boyunuz 1.85'in üzerindeyse kafanız tavana değiyor . * aracın geri görüş kamerası oldukça başarılı çalışıyor . fakat orta konsoldaki ekran sanki biraz daha büyük olabilirmiş . ayrıca araçtaki navigasyon sistemi genel olarak başarı olmakla birlikte maalesef yer belirme konusunda leb demeden leblebiyi anlayamıyor . yani anıtkabir yazınca bulamıyor ama gençlik caddesi yazında buluyor . . vb gibi . bir de ekranın küçük olmasından dolayı klavye butonları da oldukça küçük kalıyor . ince parmaklı biri değilseniz hareket halindeyken yanlışlıkla farklı harflere tıklama ihtimaliniz oldukça yüksek . özetlemek gerekirse ; test ettiğim aracın fiyatı olan 67.000 tl için donanım eksikliklerine rağmen gerek konforu gerekse ekonomi / performans oranı ile tercih edilebilir bir araç olduğunu rahatlıkla söyleyebilirim . eyyörlamam bu kadar ."
fiat egea,33,fiat egea,6,autobest tarafından yılın en iyi otomobili seçilmiş.http://www.ototest.tv/…in-en-iyi-otomobili-secildi/,autobest tarafından yılın en iyi otomobili seçilmiş . http://www.ototest.tv/ … inen - iyi-otomobili - seçildi /
fiat egea,33,fiat egea,7,"autobest'te ödül almış da autobest neymiş ki? sözlükçüler hiç duymamış, hiç yazmamış.","autobestte ödül almış da autobest neymiş ki ? sözlükçüler hiç duymamış , hiç yazmamış ."
fiat egea,33,fiat egea,8,arkası volvo s60tan önü bmw 3 serisi'nden alıntı. çakma sedandır. toplama bilgisayar gibi amk,arkası volvo s60tan onu bmw 3 serisinden alıntı . çakma sedandır . toplama bilgisayar gibi amk
fiat egea,33,fiat egea,9,"fiat markasına sınıf atlatmış, üst segment, yeni tasarım fiat modelidir. o fiyata başka marka araç alacağını iddia edenlerin yanında kendine has bir kitle oluşturması muhtemeldir.","fiat markasına sınıf atlatmış , üst segment , yeni tasarım fiyat modelidir . o fiyata başka marka araç alacağını iddia edenlerin yanında kendine has bir kitle oluşturması muhtemeldir ."
fiat egea,33,fiat egea,10,albea-linea-egea bune be yea,albea-linea - eğer bu ne be yea
fiat egea,34,fiat egea,1,ocak ayında model bazında fluence ve corolla'dan sonra 1071 adet satış ile türkiye genelinde en çok satan 3.binek araç modeli olmuştur.,ocak ayında model bazında fluence ve corolladan sonra 1071 adet satış ile türkiye genelinde en çok satan 3. binek araç modeli olmuştur .
fiat egea,34,fiat egea,2,kesinlikle almayacağım araba. ulan lüks segment diye çıkartıyosun orta sınıf donanım koymuşsun.,kesinlikle almayacağım araba . ulan lüks segment diye çıkartıyorsun orta sınıf donanım koymuşsun .
fiat egea,34,fiat egea,3,"fabrikalarinda aksamdan kalma sakali olan emekciye kan kusturan , isten atan riyakar yavsaklarin , reklaminda haci sakalli bir adami oynattiklari arabadir . ayrica satis rakamlarini buraya yazip gevrek gevrek satislari yine ekşcileri uzecektir yazanlar da bu satislarin kaçı perakende kaçının filo/ticari olduğundan bilhaber denyolardir . ıtibar etmeyiniz .","fabrikalarında akşamdan kalma sakalı olan emekçiye kan kusturan , işten atan riyakar yavşakların , reklamında hacı sakallı bir adamı oynattıkları arabadır . ayrıca satış rakamlarını buraya yazıp gevrek gevrek satışları yine eksileri üzecektir yazanlar da bu satışların kaçı perakende kaçının filo / ticari olduğundan bihaber denyolardır . itibar etmeyin ."
fiat egea,34,fiat egea,4,"dizaynına hayran olduğum otomobil. beni satın aldı, fakat ben onu satın alamıyorum, durumum yok, henüz.","dizaynına hayran olduğum otomobil . beni satın aldı , fakat ben onu satın alamıyorum , durumum yok , henüz ."
fiat egea,34,fiat egea,5,"reklamında harika görünmesine rağmen, yollarda ilk gördüğümde bu ne lan güdük bu diye tepki verdiğim otomobil. bildiğin önden arkadan ziplenmiş amk.","reklamında harika görünmesine rağmen , yollarda ilk gördüğümde bu ne lan güdük bu diye tepki verdiğim otomobil . bildiğin önden arkadan Zin'lenmiş amk ."
fiat egea,34,fiat egea,6,yeni kasa şahin,yeni kasa şahin
fiat egea,34,fiat egea,7,otomatik dizelini beklediğim yerli arabamız,otomatik dizelini beklediğim yerli arabamız
fiat egea,34,fiat egea,8,"internette dolaşan şu sw fotosu doğruysa veya buna benzer bir şeyi bir kaç sene içinde dizel otomatik / yarı otomatik kombinasyonuyla çıkarırlarsa kendisiyle ciddi düşünebilirim.edit: yazalı 2 gün oldu, bugün sw modeli tanıtılmış, 10 numara olmuş bence dış tasarım.","internette dolaşan su sw fotosu doğruysa veya buna benzer bir şeyi bir kaç sene içinde dizel otomatik / yarı otomatik kombinasyonuyla çıkarırlarsa kendisiyle ciddi düşünebilirim . edit : yazalı 2 gün oldu , bugün sw modeli tanıtılmış , 10 numara olmuş bence dış tasarım ."
fiat egea,34,fiat egea,9,yol tutusunun hala bir 'fiat' olmasindan mutevellit olmamis arabadir.isteseler cok guzel yapabilirler bu kadar zor olmasa gerek.,yol tutusunun hala bir ' fiyat ' olmasından mütevellit olmamış arabadır . isteseler çok güzel yapabilirler bu kadar zor olmasa gerek .
fiat egea,34,fiat egea,10,3 önemli donanım eksiği ile piyasaya çıkan araba... birincisi 1990 lardan kalma halojen farlar ve bugün tanıtılan hatchback ve estate kasalarla bmw 3 serisi benzeri led farlar ve daylight running lambalar donanıma ilave edildi. sedan versiyon içinde çok kısa bir sürede özellikle lounge paketi ile standart donanıma ilave olacaktır.ikincisi artık cebimizde taşıdığımız smartphoneların bile 6 inçe doğru yol aldığı olduğu günümüz için fazlasıyla küçük ve tasarım olarak demode kalan 5 inç boyutlu navigasyon ekranı ki o da ilk makyajda en az 6 inç ve daha modern bir tasarımla güncellenecektir mutlaka.üçüncüsü ise sunroof veya panoramik cam tavan opsiyonu ki gelir mi gelmez mi bilemiyorum ancak gelmezse taa 2002 yılında satışa sunulmuş olan fiat stilo modelinde bile zamanına göre son derece modern bir donanım olan skywindowu standart donanımda sunmuş olan fiat için büyük ayıp.http://www.worldcarfans.com/…te-and-hatch-to-geneva,3 önemli donanım eksiği ile piyasaya çıkan araba ... birincisi 1990 liradan kalma halojen farlar ve bugün tanıtılan hatchback ve estate kasalarla bmw 3 serisi benzeri led farlar ve day light running lambalar donanıma ilave edildi . sedan versiyon içinde çok kısa bir sürede özellikle lounge paketi ile standart donanıma ilave olacaktır . ikincisi artık cebimizde taşıdığımız smartphoneların bile 6 ince doğru yol aldığı olduğu günümüz için fazlasıyla küçük ve tasarım olarak demode kalan 5 inç boyutlu navigasyon ekranı ki o da ilk makyajda en az 6 inç ve daha modern bir tasarımla güncellenilecektir mutlaka . üçüncüsü ise sunroof veya panoramik cam tavan opsiyonu ki gelir mi gelmez mi bilemiyorum ancak gelmezse taa 2002 yılında satışa sunulmuş olan fiat stilo modelinde bile zamanına göre son derece modern bir donanım olan skywindowu standart donanımda sunmuş olan fiyat için büyük ayıp . http://www.worldcarfans.com/ … Tekand - hatch-to - geneva
