Araç,Sayfa,Başlık,Entry No,Entry Metni,Lemmatize Entry Metni,Stemli Entry
fiat egea,9,fiat egea,2,"avrup daki adı fiat viaggio dur,","avrupa dahi adı fiat Piaggio dur ,","avrup daki ad fiat viaggio dur,"
fiat egea,9,fiat egea,3,"ekşi sözlük hiçbirşeyi beğenmeme timi tarafından orası şuna, burası buna benziyo yhaa, öeghh ben begenmedim knk.. , 50bin altı olsun ama navigasyon eklesinler, kapı sesi tok olsa alırdım vs vs vs.. tarzı saçma sapan görüş ve taleplere maruz kalmış araçtır.görsen hepsi brabus'a ferrariye, pagani'ye biniyo sanırsın.araçla ilgili olarak : tasarımı şık olmuş, hatta fiat çizgisinde bir araç gibi durmuyor. iç aksam eğer görsellerdeki gibi ise yeterli duruyor.1.3 mj motorun fazla sesli çalıştığını fiat servisi bile kabul ederken umarım bu araca 1.3mjet yerine daha sessiz çalışan 1.6 dizeli koyarlar. otomatik versiyonu olacak sanırım. hatcback kasası güzel duruyor.makul fiyatlar içinde sunulur ise linea'nın yerini alabilecek potansiyelde duruyor.gerçi 40bin altı 2 yaşında linea bulmak bile zorken 60k'ya anca alırız egeyi.saygılar..edit : 1 ağustos 2015 günü balıkesir üzerinden yalova'ya geçerken yolda 16 t xxxx sarı geçici plaka ile peş peşe giden 2 adet araç birlikte görülmüştür. sanırım 1.6 dizel motorlusuydu. tasarım oldukça hoş, görünüm güzel, yabancı araçlara (dodge dart) çok benziyor. bence idol olma şansı çok yüksek. yolda durdurabilsem iç mekanını görmek içn 5 dk zaman rica edecektim ama test sürüşündelerdi sanırsam durmadılar *ve ; güzel olmuş güzel, hiçbir siki beğenmeme timine güzel kapak olur bu alet.","ekşi sözlük hiçbirşeyi beğenmeme timi tarafından orası suna , burası buna benziyor yahu , oeghh ben beğenmedim kanka . . , 50bin altı olsun ama navigasyon eklesinler , kapı sesi tok olsa alırdım vs vs vs. . tarzı saçma sapan görüş ve taleplere maruz kalmış araçtır . görsen hepsi brabus'a ferrariye , paganı'ye biniyor sanırsın . araçla ilgili olarak : tasarımı şık olmuş , hatta fiyat çizgisinde bir araç gibi durmuyor . iç aksam eğer görsellerdeki gibi ise yeterli duruyor . 1.3 mj motorun fazla sesli çalıştığını fiat servisi bile kabul ederken umarım bu araca 1.3 jet yerine daha sessiz çalışan 1.6 dizeli koyarlar . otomatik versiyonu olacak sanırım . hatchback kasası güzel duruyor . makul fiyatlar içinde sunulur ise linea'nın yerini alabilecek potansiyelde duruyor . gerçi 40bin altı 2 yaşında linea bulmak bile zorken 60k'ya anca alırız egeyi . saygılar . . edit : 1 ağustos 2015 günü balıkesir üzerinden yalova'ya geçerken yolda 16 t xxx sarı geçici plaka ile peş peşe giden 2 adet araç birlikte görülmüştür . sanırım 1.6 dizel motorlusuydu . tasarım oldukça hoş , görünüm güzel , yabancı araçlara ( dodge dart ) çok benziyor . bence idol olma şansı çok yüksek . yolda durdurabilsem iç mekanını görmek için 5 dk zaman rica edecektim ama test sürüşündelerdi sanırsam durmadılar * ve ; güzel olmuş güzel , hiçbir siki beğenmeme timine güzel kapak olur bu alet .","ekş sözlük hiçbirşe beğenme tim taraf oras şuna, bura bun benziyo yhaa, öeghh ben begen knk.. , 50bin al ols am navigasyon eklesinler, kap ses tok ols alır vs vs vs.. tarz saçm sapan görüş ve talep maruz kal araçtır.görsen heps brabus'a ferrariye, pagani'ye biniyo sanırsın.araçla ilgi olarak : tasar şık olmuş, hat fiat çizgi bir araç gip durmuyor. iç aksa eğer görsel gip is yeter duruyor.1.3 mj motor fazl sesl çalıştık fiat servis bil kabul eder umar bu ara 1.3mjet yer dah sess çalışan 1.6 dize koyarlar. otomatik versiyon olacak sanırım. hatcback kasa güzel duruyor.makul fiyat iç sunulur is linea'nın yer alabilecek potansiyel duruyor.gerçi 40bin al 2 yaş linea bulmak bil zorken 60k'ya anç alır egeyi.saygılar..edit : 1 ağustos 2015 gün balıkesir üzer yalova'ya geçer yol 16 t xxxx sar geçiç plak il peş peş gi 2 adet araç birlik görülmüştür. sanır 1.6 dizel motorlusuydu. tasar oldukç hoş, gör güzel, yabanç araç (dodge dart) çok benziyor. benç idol olm şans çok yüksek. yol durdurabil iç mekan görmek içn 5 dk zaman rica edecek am test sürüşünde sanır durm *ve ; güzel ol güzel, hiçbir sik beğenme tim güzel kapak olur bu alet."
fiat egea,9,fiat egea,4,"fuarda görüp dışını inceleme fırsatı bulup beğendim fiat modeli.araç eğer gerçekten linea'nın yerini alacaksa zaten baştan 1-0 önde, çünkü çok daha üst sınıf duruyor.sanki bir fiat croma seviyesinde.ismini ege vermeleri ayrı bir hoşuma gitti, çok başarılı bir isim seçimi.beğenmediğim tarafları; ön ızgarası çok girintili çıkıntılı. bir uzun yol sonrası sinekten böcekten çok zor temizlenir. arka stopların bagaj kısmına taşan kısmını çok beğenmedim daha güzel bir form yapılabilirdi.içini görmedim ama fotoğraflardan güzel duruyordu. tabi içine binip yumuşak malzemeye ve kullanılan kaliteyi el ile dokunup hissetmek gerek.fiat'ın çok başarılı olan 1.6 dizel motor ve otomatik şanzımanla bu piyasayı siler süpürür. düşünsenize rakibiniz renault symbol*","fuarda görüp dışını inceleme fırsatı bulup beğendim fiat modeli . araç eğer gerçekten linea'nın yerini alacaksa zaten baştan 1-0 önde , çünkü çok daha üst sınıf duruyor . sanki bir fiyat roma seviyesinde . ismini ege vermeleri ayrı bir hoşuma gitti , çok başarılı bir isim seçimi . beğenmediğim tarafları ; ön ızgarası çok girintili çıkıntılı . bir uzun yol sonrası sinekten böcekten çok zor temizlenir . arka stopların bagaj kısmına taşan kısmını çok beğenmedim daha güzel bir form yapılabilirdi . içini görmedim ama fotoğraflardan güzel duruyordu . tabi içine binip yumuşak malzemeye ve kullanılan kaliteyi el ile dokunup hissetmek gerek . fiat'ın çok başarılı olan 1.6 dizel motor ve otomatik şanzımanla bu piyasayı siler süpürür . düşünsenize rakibiniz renault symbol *","fuar görüp dış incele fırsat bulup beğen fiat modeli.araç eğer gerçek linea'nın yer alacak zaten baş 1-0 önde, çünk çok dah üst sınıf duruyor.sanki bir fiat crom seviyesinde.ismini ege verme ayr bir hoş gitti, çok başarı bir is seçimi.beğenmediğim tarafları; ön ızgara çok girinti çıkıntılı. bir uzun yol sonra sinek böcek çok zor temizlenir. ark stop bagaj kısm taşan kısm çok beğen dah güzel bir form yapılabilirdi.içini görm am fotoğraf güzel duruyordu. tabi iç binip yumuşak malzeme ve kullanılan kalite el il dokunup hissetmek gerek.fiat'ın çok başarı olan 1.6 dizel motor ve otomatik şanzıman bu piyasa si süpürür. düşünse rakip renault symbol*"
fiat egea,9,fiat egea,5,"şöyle bir tanıtım sayfasına sahip şukela araç.--- spoiler ---""fiat'ın yepyeni kompakt sedan projesi""--- spoiler ---üstteki ifade aracın linea, symbol, c-elysee vb araçlarla rekabet edeceği b segmentinde değil, üst sınıf olan c segmentinde olduğu izlenimi uyandırıyor.lansman fiyatlarında 1.6 mjet2 120bg motor seçenekli olanını 60 civarı verirlerse bir adetine her şekil talibim.","şöyle bir tanıtım sayfasına sahip sukla araç . - - - spoiler - - - "" fiat'ın yepyeni kompakt sedan projesi "" - - - spoiler - - - üstteki ifade aracın linea , symbol , c-elysee vb araçlarla rekabet edeceği b segmentinde değil , üst sınıf olan c segmentinde olduğu izlenimi uyandırıyor . lansman fiyatlarında 1.6 mjet2 120bg motor seçenekli olanını 60 civarı verirlerse bir adetine her şekil talibim .","şöyl bir tanıt sayfa sahip şukela araç.--- spoi ---""fiat'ın yepyen kompakt sedan projesi""--- spoi ---üstteki ifade araç linea, symbol, c-elysee vb araç rekabet edecek b segment değil, üst sınıf olan c segment olduk izlen uyandırıyor.lansman fiyat 1.6 mjet2 120bg motor seçenek olan 60 civar verir bir adet her şekil talibim."
fiat egea,9,fiat egea,6,araçta bi skıntı çıktığında veya bakıma götürüldüğünde ustalar tarafından adının nasıl telaffuz edileceğini merak ettiğim araç.abi şu öageüaa'nın şanzıman mı sıkıntılıydı şeklinde konuşmalar bekliyorum.olm türkiyede araba çıkarıosanız adını değiştirin bari osman kazım gibi basit isimler koyun bu ne lan yunan tanrısı gibi(bu arada yunan tanrısı da olabilir hiç bakmadım),araçta bir sıkıntı çıktığında veya bakıma götürüldüğünde ustalar tarafından adının nasıl telaffuz edileceğini merak ettiğim araç . abi şu oageüaa'nın şanzıman mı sıkıntılıydı şeklinde konuşmalar bekliyorum . olum türkiyede araba çıkariosanız adını değiştirin bari osman kazım gibi basit isimler koyun bu ne lan yunan tanrısı gibi ( bu arada yunan tanrısı da olabilir hiç bakmadım ),araç bi skın çıktık veya bak götürüldük usta taraf adın nasıl telaffuz edilecek merak ettik araç.abi şu öageüaa'nın şanzıman mı sıkıntı şekl konuş bekliyorum.olm türkiye araba çıkarıo adın değiştir bari osman kaz gip basit isim koy bu ne lan yunan tanrı gibi(bu ara yunan tanrı da olabilir hiç bakmadım)
fiat egea,9,fiat egea,7,"daha düşük yıllık vergi sebebi ile filolar için 1.3 multijet i kullanmaya devam etme olasılığı yüksek. normal bir tüketici için 1.6 lt dizel motor hem yakıt hemde bakım maliyetleri açısından daha iyi bir tercih olacaktır ama fiyat listesinde ucuz olan daha çok satar, biz yollarda daha çok 1.3 multijetli versiyonu kullanan ve ""gitmiyo bu araba yaa"" diye ağlayan sürücüler görürüz.","daha düşük yıllık vergi sebebi ile filolar için 1.3 multijeti kullanmaya devam etme olasılığı yüksek . normal bir tüketici için 1.6 lt dizel motor hem yakıt hem de bakım maliyetleri açısından daha iyi bir tercih olacaktır ama fiyat listesinde ucuz olan daha çok satar , biz yollarda daha çok 1.3 multijetli versiyonu kullanan ve "" gitmiyor bu araba yaa "" diye ağlayan sürücüler görürüz .","dah düşük yıllık verg sebep il filo iç 1.3 multijet i kullanma devam etm olasılık yüksek. normal bir tüketiç iç 1.6 lt dizel motor hem yakıt hem bak maliyet açıs dah iyi bir tercih olacak am fiyat liste uç olan dah çok satar, biz yol dah çok 1.3 multijet versiyon kullanan ve ""gitmiyo bu araba yaa"" di ağlayan sürüç görürüz."
fiat egea,9,fiat egea,8,"tasarımını gayet başarılı bulduğum araç, bir tek iç mekân biraz basit olmuş gibi sadece. motor olarak multijetler zaten kendini kanıtlamış olduğu için bu noktada da sıkıntı olmaz diye düşünüyorum. aracın kaderini fiyatlandırması belirleyecek gibi.","tasarımını gayet başarılı bulduğum araç , bir tek iç mekan biraz basit olmuş gibi sadece . motor olarak multijetler zaten kendini kanıtlamış olduğu için bu noktada da sıkıntı olmaz diye düşünüyorum . aracın kaderini fiyatlandırması belirleyecek gibi .","tasarım gayet başarı bulduk araç, bir tek iç mekân biraz basit ol gip sadece. motor olarak multijet zaten kent kanıt olduk iç bu nokta da sık olmaz di düşünüyorum. araç kader fiyatlandırma belirleyecek gibi."
fiat egea,9,fiat egea,9,"şekli şemali güzel, sözde yerli araç.yerli olmasına rağmen 60 binlerden satışa sunulması beklenmekte.hadi ithal araçlara vergiyi ebesinin damı kadar koyuyorsun da bu sözde yerlilere bari az koyun da millet azıcık nefes alsın lan!edit: ""gümrük birliği anlaşmasından dolayı öyle bir ayrım yapılamıyor. yurtiçi ve yurtdışı ürünlerden aynı vergi oranıyla vergi alınmakta"" dedi we work in the dark to serve the lightöyleyse hiç istemesemde türkiye'de üretim yapan bu adamlara extra teşvik verilsin ve bu adamlar diğerlerine göre belirgin şekilde ucuz satsınlar dolayısıyla onlarda daha çok satsın. volkwagen türkiye'de üretim yapmamasına rağmen yıllardır en çok satan araç markası türkiye'de.edit: nazarımız değdi herhal vw'e!!","şekli semalı güzel , sözde yerli araç . yerli olmasına rağmen 60 binlerden satışa sunulması beklenmekte . hadi ithal araçlara vergiyi ebesinin damı kadar koyuyorsun da bu sözde yerlilere bari az koyun da millet azıcık nefes alsın lan ! edit : "" gümrük birliği anlaşmasından dolayı öyle bir ayrım yapılamıyor . yurtiçi ve yurtdışı ürünlerden aynı vergi oranıyla vergi alınmakta "" dedi we work in the dark to şer ve the lightöyleyse hiç istemesemde türkiye'de üretim yapan bu adamlara extra teşvik verilsin ve bu adamlar diğerlerine göre belirgin şekilde ucuz satsınlar dolayısıyla onlarda daha çok satsın . volkswagen türkiye'de üretim yapmamasına rağmen yıllardır en çok satan araç markası türkiye'de . edit : nazarımız değdi derhal ve ! !","şekl şemali güzel, söz yerl araç.yerli olma rağmen 60 bin satış sunulma beklenmekte.hadi ithal araç vergi ebe dam kadar koyuyor da bu söz yer bari az koy da millet azıcık nefes al lan!edit: ""gümrük birlik anlaşma dola öyl bir ayr yapılamıyor. yurtiç ve yurtdış ürün aynı verg oran verg alınmakta"" det we work in the dark to serv the lightö hiç istemese türkiye'de üret yapan bu adam extra teşvik veril ve bu adam diğer gör belirg şekil uç sats dolayı onlar dah çok satsın. volkwagen türkiye'de üret yapmama rağmen yıl en çok sa araç marka türkiye'de.edit: nazar değt herhal vw'e!!"
fiat egea,9,fiat egea,10,"https://en.wikipedia.org/…ki/gm_fiat_small_platformtipi hoşuma gitti ama tasarımında güncel ne varsa sonuna kadar kullanıldığı için 4-5 yıl sonra çok eskimiş görünecek (aynı linea'nın ilk çıktığında gayet derli toplu görünüp birkaç sene içinde muşmulaya dönmesi gibi) ama şu anda güzel. rahatsız edici bulduğum tek şey farlarla stopların bambaşka dünyalara ait olması. önün keskin çizgilerini arkada yumuşatıp yok etmek yerine aynen devam ettirebilselerdi, yani önden jaguar arkadan ssangyong farklılığında olmasaydı çok daha güzel olabilirdi.","https://en.wikipedia.org/ … ki / gm_fiat_small_platformtipi hoşuma gitti ama tasarımında güncel ne varsa sonuna kadar kullanıldığı için 4-5 yıl sonra çok eskimiş görünecek ( aynı linea'nın ilk çıktığında gayet derli toplu görünüp birkaç sene içinde muşmulaya dönmesi gibi ) ama şu anda güzel . rahatsız edici bulduğum tek şey farlarla stopların bambaşka dünyalara ait olması . onun keskin çizgilerini arkada yumuşatıp yok etmek yerine aynen devam ettirebilselerdi , yani önden jaguar arkadan ssangyong farklılığında olmasaydı çok daha güzel olabilirdi .","https://en.wikipedia.org/…ki/gm_fiat_small_platformtipi hoş git am tasarım güncel ne var son kadar kullanıldık iç 4-5 yıl sonr çok eski görünecek (aynı linea'nın ilk çıktık gayet derl topl görünüp birkaç sen iç muşmula dönme gibi) am şu an güzel. rahats ediç bulduk tek şey far stop bambaşk dünya ait olması. ön kesk çizgi arka yumuşatıp yok etmek yer aynen devam ettirebilselerdi, yan ön jaguar arka ssangyong farklılık olmas çok dah güzel olabilirdi."
fiat egea,10,fiat egea,1,"ciddi anlamda linea-fluence esinlenmesine sahip olan, klasman olarak da bu araçlara rakip olarak çıkacak fiat otomobili.sedanı tutar bunun, bir sene sonra hatchback modeli de çıkacak, o zaman daha da tutar. şu haliyle fluence'e göre çok daha iyi olduğunu söyleyebiliriz.","ciddi anlamda linea-fluence esinlenmesine sahip olan , klasman olarak da bu araçlara rakip olarak çıkacak fiyat otomobili . sedanı tutar bunun , bir sene sonra hatchback modeli de çıkacak , o zaman daha da tutar . şu haliyle Fluence göre çok daha iyi olduğunu söyleyebiliriz .","cidt anla linea-fluence esinlenme sahip olan, klasman olarak da bu araç rakip olarak çıkacak fiat otomobili.sedanı tutar bunun, bir sen sonr hatchback mode de çıkacak, o zaman dah da tutar. şu hali fluence'e gör çok dah iyi olduk söyleyebiliriz."
fiat egea,10,fiat egea,2,albea<linea<aegea olacak,albea<linea<aegea olacak,albea<linea<aegea olacak
fiat egea,10,fiat egea,3,"bir siki begenmeme timi tarafindan tasariminin oradan buradan calinti oldugu soylenen araba. beynini aldirip yerine google taktiranlar, baskasinin sikiyle gerdege gire gire sozlugun ve istisnasiz her basligin anasini siktiniz. azalarak kaybolacaginiza bolunerek cogaldiniz, bravo.","bir siki beğenmeme timi tarafından tasarımının oradan buradan çalıntı olduğu söylenen araba . beynini aldırıp yerine google taktıranlar , başkasının sikiyle gerdeğe gire gire sözlüğün ve istisnasız her başlığın anasını sıktınız . azalarak kaybolacağınıza bölünerek çoğaldınız , bravo .","bir sik begenme tim tarafindan tasarim ora bura cali oldug soylenen araba. beyn aldirip yer google taktiranlar, baskasi siki gerdeg gir gir sozlug ve istisnasiz her baslig anasin siktiniz. azalarak kaybolacaginiza bolunerek cogaldiniz, bravo."
fiat egea,10,fiat egea,4,"fiat ceo'su tarafından, daha önceki haberleri doğrular şekilde (bkz: #46850561) hatchback ve station wagon karosere sahip versiyonlarının da sunulacağı ve üç modelin de bursa'da üretileceği açıklanan otomobil.bu arada patron aegea modelleri için, ""ikea"" ürünleri gibi akıllıca tasarlanan ve uygun fiyatlı otomobiller olacağını söylemiş. umarım billy kitaplıkları değil pax serisi dolapları örnek almışlardır.","fiat ceo'su tarafından , daha önceki haberleri doğrular şekilde ( bkz : #46850561 ) hatchback ve station wagon karosere sahip versiyonlarının da sunulacağı ve üç modelin de bursa'da üretileceği açıklanan otomobil . bu arada patron Aegean modelleri için , "" ıkea "" ürünleri gibi akıllıca tasarlanan ve uygun fiyatlı otomobiller olacağını söylemiş . umarım billy kitaplıkları değil pax serisi dolapları örnek almışlardır .","fiat ceo'su tarafından, dah öncek haber doğr şekil (bkz: #46850561) hatchback ve station wagon karoser sahip versiyon da sunulacak ve üç model de bursa'da üretilecek açıklanan otomobil.bu ara patron aegea model için, ""ikea"" ürün gip akıl tasarlanan ve uygun fiyat otomobil olacak söylemiş. umar billy kitaplık değil pax seri dolap örnek almışlardır."
fiat egea,10,fiat egea,5,sedanın ardından hatchback ve station wagon modellerinin çıkacağı yaklaşık 2 senedir bilinen fiat modeli.filoların fluence ve ford focus ile birlikte orta düzey yönetici araçları bunlardan oluşacak.,sedanın ardından hatchback ve station wagon modellerinin çıkacağı yaklaşık 2 senedir bilinen fiat modeli . filoların fluence ve ford focus ile birlikte orta düzey yönetici araçları bunlardan oluşacak .,seda art hatchback ve station wagon model çıkacak yaklaşık 2 sene bilinen fiat modeli.filoların flue ve ford focus il birlik or düzey yönetiç araç bun oluşacak.
fiat egea,10,fiat egea,6,"türkiye'de piyasa arabası olma konusunda üç lider var. biri tabi ki fiat, diğeri hyundai ve renault. tabi bu üç markanın da piyasa araçları belli. linea, axcent, symbol. ticari mevzusu ayrı, ona girmiyorum.şimdi sen linea'nın yerini çok rahatlıkla alacak böyle bir sedan yaparsan şayet, üstüne de 100 km'de 4 litreden az yakacak dersen kredi çekme üstadı memleketimde bu araç rekor satış yapar. demedi demeyin.bu memlekette herkes 'ayy fiat bok, ayy reno bok, ayy hyundaiye binilir mi kağıt onlar' falan der fakat her yıl bu araçlar en çok satanlarda olur. böyle çelişki memleketiyiz işte.kendi değerlendirmem şudur; fiat miat, acayip tatlı, keskin ve agresif bi tasarımı var aracın. lakin motor güçsüz kalacak muhtemelen o kasaya göre. derdi sürüş keyfi değil de yakıt olanlar için çatır çatır tercih edilir bir araç olacağı kesin. bi görüp dokunmak lazım tabi ama tasarım ve hatlar acayip hoşuma gitti yani.","türkiye'de piyasa arabası olma konusunda üç lider var . biri tabi ki fiyat , diğeri hyundai ve renault . tabi bu üç markanın da piyasa araçları belli . linea , Accent , symbol . ticari mevzusu ayrı , ona girmiyorum . şimdi sen linea'nın yerini çok rahatlıkla alacak böyle bir sedan yaparsan şayet , üstüne de 100 km'de 4 litreden az yakacak dersen kredi çekme üstadı memleketimde bu araç rekor satış yapar . demedi demeyin . bu memlekette herkes ' ayy fiyat bok , ayy reno bok , ayy hyundaiye binilir mi kağıt onlar ' falan der fakat her yıl bu araçlar en çok satanlarda olur . böyle çelişki memleketiyiz işte . kendi değerlendirmem şudur ; fiyat miat , acayip tatlı , keskin ve agresif bir tasarımı var aracın . lakin motor güçsüz kalacak muhtemelen o kasaya göre . derdi sürüş keyfi değil de yakıt olanlar için çatır çatır tercih edilir bir araç olacağı kesin . bir görüp dokunmak lazım tabi ama tasarım ve hatlar acayip hoşuma gitti yani .","türkiye'de piya araba olm konu üç lider var. bir tabi ki fiat, diğer hyundai ve renault. tabi bu üç marka da piya araç belli. linea, axcent, symbol. ticari mevzu ayrı, on girmiyorum.şimdi sen linea'nın yer çok rahatlık alacak böyl bir sedan yapar şayet, üst de 100 km'de 4 litre az yakacak der kret çekm üsta memleket bu araç rekor satış yapar. deme demeyin.bu memleket herkes 'ayy fiat bok, ayy reno bok, ayy hyundai binilir mi kağıt onlar' falan der fakat her yıl bu araç en çok satan olur. böyl çelişk memleket işte.kendi değerlendirme şudur; fiat miat, acayip tatlı, kesk ve agresif bi tasar var aracın. laki motor güçs kalacak muhtemelen o kasa göre. dert sürüş keyf değil de yakıt olan iç ça ça tercih edilir bir araç olacak kesin. bi görüp dokunmak lazım tabi am tasar ve hat acayip hoş git yani."
fiat egea,10,fiat egea,7,"fotoğraflardan gördüğüm kadarıyla dış görüntüsü volkswagen passat'ı andırdığı. ancak iç dizayn tipik fiat dizaynı. bu nedenle konfor beklentisini ona göre ayarlamak gerekli. tahminimce şirketler tarafından epey alıcı bulacaktır. çünkü genel müdür arabası olmaya yakındır. yani satışçılarına fiat linea tahsil edenler, daha üst mertebedekilerin altına fiat aegea verebilirler.","fotoğraflardan gördüğüm kadarıyla dış görüntüsü volkswagen passatı andırdığı . ancak iç dizayn tipik fiyat dizaynı . bu nedenle konfor beklentisini ona göre ayarlamak gerekli . tahminimce şirketler tarafından epey alıcı bulacaktır . çünkü genel müdür arabası olmaya yakındır . yani satışçılarına fiat linea tahsil edenler , daha üst mertebedekilerin altına fiyat Aegean verebilirler .","fotoğraf gördük kadar dış görüntü volkswagen passat'ı andırdığı. ancak iç dizayn tipik fiat dizaynı. bu neden konfor beklenti on gör ayarlamak gerekli. tahmin şirket taraf epey alıç bulacaktır. çünk genel mü araba olma yakındır. yan satışçı fiat linea tahsil edenler, dah üst mertebe alt fiat aegea verebilirler."
fiat egea,10,fiat egea,8,"otomobili kimse sürmediği için tasarım hakkında konuşacak olursak; mercedes'in cla ve a serisinde kullandığı ""elmas ızgara"" olayını güzelce kendi modellerine adapte etmişler. dodge dart ile olan akrabalığına bu güzel detayı eklemeleri hoş olmuş ama kokpit kabin dashboard nasıl tanımlarsanız tanımlayın; hala fiat...bu arada bu aracın bir linea olacağını düşünmüyorum. linea'dan daha kaliteli, dünya ile daha rekabet edebilir bir araç olacağı fikrindeyim. linea tam bir ""türk işi b sınıfı sedan"" idi. bunda daha dünya çapında bir versiyon bekliyorum. olur mu olmaz mı göreceğiz. ayrıca bu aracın ""c sınıfı hatchback"" modelleri üretilirse de şaşırmam.edit: fiat'ın motoruna laf etmem açıkçası, bu araca 1.3 ve 1.6 multijetler koyulur ve bu motorlardan (tahminen 1.3 multijet) bir kaçını istanbul taksilerinde 850-950bin kmlerde görmüş birisi olarak fiat'ın motorlarına olumsuz eleştiri getiremem ama elektrik tertibatı, malzeme kalitesi filan iyi değil açıkçası. bu defa bu konuda kirişi kırarlar umarım.edit 2: dodge dart ile olan akrabalık tasarım dili ile alakalı yoksa -tabii ki de- dodge dart bir ""sedan alfa romeo giulietta !!!"". ön tasarımda iki modelin birbiriyle yakınlığı bariz.","otomobili kimse sürmediği için tasarım hakkında konuşacak olursak ; mercedes'in cola ve a serisinde kullandığı "" elmas ızgara "" olayını güzelce kendi modellerine adapte etmişler . dodge dart ile olan akrabalığına bu güzel detayı eklemeleri hoş olmuş ama kokpit kabin dashboard nasıl tanımlarsanız tanımlayın ; hala fiyat ... bu arada bu aracın bir linea olacağını düşünmüyorum . lineadan daha kaliteli , dünya ile daha rekabet edebilir bir araç olacağı fikrindeyim . linea tam bir "" türk işi b sınıfı sedan "" idi . bunda daha dünya çapında bir versiyon bekliyorum . olur mu olmaz mı göreceğiz . ayrıca bu aracın "" c sınıfı hatchback "" modelleri üretilirse de şaşırmam . edit : fiat'ın motoruna laf etmem açıkçası , bu araca 1.3 ve 1.6 multijetler koyulur ve bu motorlardan ( tahminen 1.3 multijet ) bir kaçını istanbul taksilerinde 850-950bin kmlerde görmüş biri olarak fiat'ın motorlarına olumsuz eleştiri getiremem ama elektrik tertibatı , malzeme kalitesi filan iyi değil açıkçası . bu defa bu konuda kirişi kırarlar umarım . edit 2 : dodge dart ile olan akrabalık tasarım dili ile alakalı yoksa - tabii ki de - dodge dart bir "" sedan alfa romeo giulietta ! ! ! "" . ön tasarımda iki modelin birbiriyle yakınlığı bariz .","otomobi kims sürmedik iç tasar hakk konuşacak olursak; mercedes'in cla ve a seri kullandık ""elmas ızgara"" olay güzel kent model adapte etmişler. dodge dart il olan akrabalık bu güzel deta ekleme hoş ol am kokpit kabi dashboard nasıl tanım tanımlayın; hal fiat...bu ara bu araç bir linea olacak düşünmüyorum. linea'dan dah kaliteli, dünya il dah rekabet edebilir bir araç olacak fikrindeyim. linea tam bir ""türk iş b sınıf sedan"" idi. bun dah dünya çap bir versiyon bekliyorum. olur mu olmaz mı göreceğiz. ayrı bu araç ""c sınıf hatchback"" model üretilir de şaşırmam.edit: fiat'ın motor laf etme açıkçası, bu ara 1.3 ve 1.6 multijet koyulur ve bu motor (tahminen 1.3 multijet) bir kaç istanbul taksi 850-950bin kmler gör biri olarak fiat'ın motor olums eleştir getireme am elektrik tertibatı, malzeme kalite filan iyi değil açıkçası. bu defa bu konu kiriş kırar umarım.edit 2: dodge dart il olan akrabalık tasar dil il alaka yoks -tabii ki de- dodge dart bir ""sedan alf romeo giulietta !!!"". ön tasar ik model birbir yakınlık bariz."
fiat egea,10,fiat egea,9,benzer motor ve donanımdaki linealardan 5000 tl pahalı olacağı söyleniyor. ne kadar doğrudur bilemem.,benzer motor ve donanımdaki linealardan 5000 tl pahalı olacağı söyleniyor . ne kadar doğrudur bilemem .,benzer motor ve donan linea 5000 tl paha olacak söyleniyor. ne kadar doğr bilemem.
fiat egea,10,fiat egea,10,araba değil miydi lan bu?,araba değil miydi lan bu ?,araba değil miyt lan bu?
